iteration	TMSE
1		0.093285
2		0.087015
3		0.080785
4		0.074674
5		0.068761
6		0.063120
7		0.057812
8		0.052884
9		0.048366
10		0.044272
11		0.040602
12		0.037341
13		0.034467
14		0.031950
15		0.029758
16		0.027857
17		0.026214
18		0.024796
19		0.023575
20		0.022525
21		0.021623
22		0.020847
23		0.020180
24		0.019606
25		0.019112
26		0.018686
27		0.018319
28		0.018002
29		0.017729
30		0.017492
31		0.017286
32		0.017109
33		0.016954
34		0.016820
35		0.016703
36		0.016601
37		0.016512
38		0.016434
39		0.016366
40		0.016306
41		0.016254
42		0.016208
43		0.016168
44		0.016132
45		0.016100
46		0.016073
47		0.016048
48		0.016026
49		0.016007
50		0.015989
51		0.015974
52		0.015960
53		0.015947
54		0.015936
55		0.015926
56		0.015916
57		0.015908
58		0.015900
59		0.015893
60		0.015887
61		0.015881
62		0.015875
63		0.015870
64		0.015866
65		0.015861
66		0.015857
67		0.015853
68		0.015849
69		0.015845
70		0.015842
71		0.015838
72		0.015835
73		0.015832
74		0.015829
75		0.015826
76		0.015823
77		0.015821
78		0.015818
79		0.015815
80		0.015812
81		0.015810
82		0.015807
83		0.015805
84		0.015802
85		0.015800
86		0.015797
87		0.015795
88		0.015792
89		0.015790
90		0.015788
91		0.015785
92		0.015783
93		0.015780
94		0.015778
95		0.015776
96		0.015773
97		0.015771
98		0.015769
99		0.015766
100		0.015764
101		0.015762
102		0.015759
103		0.015757
104		0.015755
105		0.015752
106		0.015750
107		0.015748
108		0.015745
109		0.015743
110		0.015741
111		0.015738
112		0.015736
113		0.015734
114		0.015731
115		0.015729
116		0.015727
117		0.015725
118		0.015722
119		0.015720
120		0.015718
121		0.015715
122		0.015713
123		0.015711
124		0.015708
125		0.015706
126		0.015704
127		0.015702
128		0.015699
129		0.015697
130		0.015695
131		0.015692
132		0.015690
133		0.015688
134		0.015685
135		0.015683
136		0.015681
137		0.015679
138		0.015676
139		0.015674
140		0.015672
141		0.015669
142		0.015667
143		0.015665
144		0.015663
145		0.015660
146		0.015658
147		0.015656
148		0.015653
149		0.015651
150		0.015649
151		0.015647
152		0.015644
153		0.015642
154		0.015640
155		0.015637
156		0.015635
157		0.015633
158		0.015631
159		0.015628
160		0.015626
161		0.015624
162		0.015621
163		0.015619
164		0.015617
165		0.015615
166		0.015612
167		0.015610
168		0.015608
169		0.015605
170		0.015603
171		0.015601
172		0.015599
173		0.015596
174		0.015594
175		0.015592
176		0.015589
177		0.015587
178		0.015585
179		0.015583
180		0.015580
181		0.015578
182		0.015576
183		0.015573
184		0.015571
185		0.015569
186		0.015567
187		0.015564
188		0.015562
189		0.015560
190		0.015558
191		0.015555
192		0.015553
193		0.015551
194		0.015548
195		0.015546
196		0.015544
197		0.015542
198		0.015539
199		0.015537
200		0.015535
201		0.015533
202		0.015530
203		0.015528
204		0.015526
205		0.015524
206		0.015521
207		0.015519
208		0.015517
209		0.015514
210		0.015512
211		0.015510
212		0.015508
213		0.015505
214		0.015503
215		0.015501
216		0.015499
217		0.015496
218		0.015494
219		0.015492
220		0.015490
221		0.015487
222		0.015485
223		0.015483
224		0.015480
225		0.015478
226		0.015476
227		0.015474
228		0.015471
229		0.015469
230		0.015467
231		0.015465
232		0.015462
233		0.015460
234		0.015458
235		0.015456
236		0.015453
237		0.015451
238		0.015449
239		0.015447
240		0.015444
241		0.015442
242		0.015440
243		0.015438
244		0.015435
245		0.015433
246		0.015431
247		0.015429
248		0.015426
249		0.015424
250		0.015422
251		0.015420
252		0.015417
253		0.015415
254		0.015413
255		0.015411
256		0.015408
257		0.015406
258		0.015404
259		0.015402
260		0.015399
261		0.015397
262		0.015395
263		0.015393
264		0.015390
265		0.015388
266		0.015386
267		0.015384
268		0.015381
269		0.015379
270		0.015377
271		0.015375
272		0.015372
273		0.015370
274		0.015368
275		0.015366
276		0.015363
277		0.015361
278		0.015359
279		0.015357
280		0.015354
281		0.015352
282		0.015350
283		0.015348
284		0.015346
285		0.015343
286		0.015341
287		0.015339
288		0.015337
289		0.015334
290		0.015332
291		0.015330
292		0.015328
293		0.015325
294		0.015323
295		0.015321
296		0.015319
297		0.015316
298		0.015314
299		0.015312
300		0.015310
301		0.015308
302		0.015305
303		0.015303
304		0.015301
305		0.015299
306		0.015296
307		0.015294
308		0.015292
309		0.015290
310		0.015287
311		0.015285
312		0.015283
313		0.015281
314		0.015279
315		0.015276
316		0.015274
317		0.015272
318		0.015270
319		0.015267
320		0.015265
321		0.015263
322		0.015261
323		0.015258
324		0.015256
325		0.015254
326		0.015252
327		0.015250
328		0.015247
329		0.015245
330		0.015243
331		0.015241
332		0.015238
333		0.015236
334		0.015234
335		0.015232
336		0.015230
337		0.015227
338		0.015225
339		0.015223
340		0.015221
341		0.015219
342		0.015216
343		0.015214
344		0.015212
345		0.015210
346		0.015207
347		0.015205
348		0.015203
349		0.015201
350		0.015199
351		0.015196
352		0.015194
353		0.015192
354		0.015190
355		0.015188
356		0.015185
357		0.015183
358		0.015181
359		0.015179
360		0.015176
361		0.015174
362		0.015172
363		0.015170
364		0.015168
365		0.015165
366		0.015163
367		0.015161
368		0.015159
369		0.015157
370		0.015154
371		0.015152
372		0.015150
373		0.015148
374		0.015146
375		0.015143
376		0.015141
377		0.015139
378		0.015137
379		0.015135
380		0.015132
381		0.015130
382		0.015128
383		0.015126
384		0.015124
385		0.015121
386		0.015119
387		0.015117
388		0.015115
389		0.015113
390		0.015110
391		0.015108
392		0.015106
393		0.015104
394		0.015102
395		0.015099
396		0.015097
397		0.015095
398		0.015093
399		0.015091
400		0.015088
401		0.015086
402		0.015084
403		0.015082
404		0.015080
405		0.015077
406		0.015075
407		0.015073
408		0.015071
409		0.015069
410		0.015066
411		0.015064
412		0.015062
413		0.015060
414		0.015058
415		0.015055
416		0.015053
417		0.015051
418		0.015049
419		0.015047
420		0.015045
421		0.015042
422		0.015040
423		0.015038
424		0.015036
425		0.015034
426		0.015031
427		0.015029
428		0.015027
429		0.015025
430		0.015023
431		0.015020
432		0.015018
433		0.015016
434		0.015014
435		0.015012
436		0.015010
437		0.015007
438		0.015005
439		0.015003
440		0.015001
441		0.014999
442		0.014996
443		0.014994
444		0.014992
445		0.014990
446		0.014988
447		0.014986
448		0.014983
449		0.014981
450		0.014979
451		0.014977
452		0.014975
453		0.014972
454		0.014970
455		0.014968
456		0.014966
457		0.014964
458		0.014962
459		0.014959
460		0.014957
461		0.014955
462		0.014953
463		0.014951
464		0.014949
465		0.014946
466		0.014944
467		0.014942
468		0.014940
469		0.014938
470		0.014936
471		0.014933
472		0.014931
473		0.014929
474		0.014927
475		0.014925
476		0.014923
477		0.014920
478		0.014918
479		0.014916
480		0.014914
481		0.014912
482		0.014910
483		0.014907
484		0.014905
485		0.014903
486		0.014901
487		0.014899
488		0.014897
489		0.014894
490		0.014892
491		0.014890
492		0.014888
493		0.014886
494		0.014884
495		0.014881
496		0.014879
497		0.014877
498		0.014875
499		0.014873
500		0.014871
501		0.014868
502		0.014866
503		0.014864
504		0.014862
505		0.014860
506		0.014858
507		0.014856
508		0.014853
509		0.014851
510		0.014849
511		0.014847
512		0.014845
513		0.014843
514		0.014840
515		0.014838
516		0.014836
517		0.014834
518		0.014832
519		0.014830
520		0.014828
521		0.014825
522		0.014823
523		0.014821
524		0.014819
525		0.014817
526		0.014815
527		0.014812
528		0.014810
529		0.014808
530		0.014806
531		0.014804
532		0.014802
533		0.014800
534		0.014797
535		0.014795
536		0.014793
537		0.014791
538		0.014789
539		0.014787
540		0.014785
541		0.014782
542		0.014780
543		0.014778
544		0.014776
545		0.014774
546		0.014772
547		0.014770
548		0.014767
549		0.014765
550		0.014763
551		0.014761
552		0.014759
553		0.014757
554		0.014755
555		0.014752
556		0.014750
557		0.014748
558		0.014746
559		0.014744
560		0.014742
561		0.014740
562		0.014737
563		0.014735
564		0.014733
565		0.014731
566		0.014729
567		0.014727
568		0.014725
569		0.014723
570		0.014720
571		0.014718
572		0.014716
573		0.014714
574		0.014712
575		0.014710
576		0.014708
577		0.014705
578		0.014703
579		0.014701
580		0.014699
581		0.014697
582		0.014695
583		0.014693
584		0.014691
585		0.014688
586		0.014686
587		0.014684
588		0.014682
589		0.014680
590		0.014678
591		0.014676
592		0.014674
593		0.014671
594		0.014669
595		0.014667
596		0.014665
597		0.014663
598		0.014661
599		0.014659
600		0.014657
601		0.014654
602		0.014652
603		0.014650
604		0.014648
605		0.014646
606		0.014644
607		0.014642
608		0.014640
609		0.014637
610		0.014635
611		0.014633
612		0.014631
613		0.014629
614		0.014627
615		0.014625
616		0.014623
617		0.014621
618		0.014618
619		0.014616
620		0.014614
621		0.014612
622		0.014610
623		0.014608
624		0.014606
625		0.014604
626		0.014601
627		0.014599
628		0.014597
629		0.014595
630		0.014593
631		0.014591
632		0.014589
633		0.014587
634		0.014585
635		0.014582
636		0.014580
637		0.014578
638		0.014576
639		0.014574
640		0.014572
641		0.014570
642		0.014568
643		0.014566
644		0.014564
645		0.014561
646		0.014559
647		0.014557
648		0.014555
649		0.014553
650		0.014551
651		0.014549
652		0.014547
653		0.014545
654		0.014542
655		0.014540
656		0.014538
657		0.014536
658		0.014534
659		0.014532
660		0.014530
661		0.014528
662		0.014526
663		0.014524
664		0.014521
665		0.014519
666		0.014517
667		0.014515
668		0.014513
669		0.014511
670		0.014509
671		0.014507
672		0.014505
673		0.014503
674		0.014500
675		0.014498
676		0.014496
677		0.014494
678		0.014492
679		0.014490
680		0.014488
681		0.014486
682		0.014484
683		0.014482
684		0.014480
685		0.014477
686		0.014475
687		0.014473
688		0.014471
689		0.014469
690		0.014467
691		0.014465
692		0.014463
693		0.014461
694		0.014459
695		0.014457
696		0.014454
697		0.014452
698		0.014450
699		0.014448
700		0.014446
701		0.014444
702		0.014442
703		0.014440
704		0.014438
705		0.014436
706		0.014434
707		0.014432
708		0.014429
709		0.014427
710		0.014425
711		0.014423
712		0.014421
713		0.014419
714		0.014417
715		0.014415
716		0.014413
717		0.014411
718		0.014409
719		0.014407
720		0.014404
721		0.014402
722		0.014400
723		0.014398
724		0.014396
725		0.014394
726		0.014392
727		0.014390
728		0.014388
729		0.014386
730		0.014384
731		0.014382
732		0.014380
733		0.014377
734		0.014375
735		0.014373
736		0.014371
737		0.014369
738		0.014367
739		0.014365
740		0.014363
741		0.014361
742		0.014359
743		0.014357
744		0.014355
745		0.014353
746		0.014350
747		0.014348
748		0.014346
749		0.014344
750		0.014342
751		0.014340
752		0.014338
753		0.014336
754		0.014334
755		0.014332
756		0.014330
757		0.014328
758		0.014326
759		0.014324
760		0.014322
761		0.014319
762		0.014317
763		0.014315
764		0.014313
765		0.014311
766		0.014309
767		0.014307
768		0.014305
769		0.014303
770		0.014301
771		0.014299
772		0.014297
773		0.014295
774		0.014293
775		0.014291
776		0.014289
777		0.014286
778		0.014284
779		0.014282
780		0.014280
781		0.014278
782		0.014276
783		0.014274
784		0.014272
785		0.014270
786		0.014268
787		0.014266
788		0.014264
789		0.014262
790		0.014260
791		0.014258
792		0.014256
793		0.014254
794		0.014252
795		0.014249
796		0.014247
797		0.014245
798		0.014243
799		0.014241
800		0.014239
801		0.014237
802		0.014235
803		0.014233
804		0.014231
805		0.014229
806		0.014227
807		0.014225
808		0.014223
809		0.014221
810		0.014219
811		0.014217
812		0.014215
813		0.014213
814		0.014211
815		0.014208
816		0.014206
817		0.014204
818		0.014202
819		0.014200
820		0.014198
821		0.014196
822		0.014194
823		0.014192
824		0.014190
825		0.014188
826		0.014186
827		0.014184
828		0.014182
829		0.014180
830		0.014178
831		0.014176
832		0.014174
833		0.014172
834		0.014170
835		0.014168
836		0.014166
837		0.014164
838		0.014162
839		0.014160
840		0.014157
841		0.014155
842		0.014153
843		0.014151
844		0.014149
845		0.014147
846		0.014145
847		0.014143
848		0.014141
849		0.014139
850		0.014137
851		0.014135
852		0.014133
853		0.014131
854		0.014129
855		0.014127
856		0.014125
857		0.014123
858		0.014121
859		0.014119
860		0.014117
861		0.014115
862		0.014113
863		0.014111
864		0.014109
865		0.014107
866		0.014105
867		0.014103
868		0.014101
869		0.014099
870		0.014097
871		0.014094
872		0.014092
873		0.014090
874		0.014088
875		0.014086
876		0.014084
877		0.014082
878		0.014080
879		0.014078
880		0.014076
881		0.014074
882		0.014072
883		0.014070
884		0.014068
885		0.014066
886		0.014064
887		0.014062
888		0.014060
889		0.014058
890		0.014056
891		0.014054
892		0.014052
893		0.014050
894		0.014048
895		0.014046
896		0.014044
897		0.014042
898		0.014040
899		0.014038
900		0.014036
901		0.014034
902		0.014032
903		0.014030
904		0.014028
905		0.014026
906		0.014024
907		0.014022
908		0.014020
909		0.014018
910		0.014016
911		0.014014
912		0.014012
913		0.014010
914		0.014008
915		0.014006
916		0.014004
917		0.014002
918		0.014000
919		0.013998
920		0.013996
921		0.013994
922		0.013992
923		0.013990
924		0.013988
925		0.013986
926		0.013984
927		0.013982
928		0.013980
929		0.013978
930		0.013976
931		0.013974
932		0.013972
933		0.013970
934		0.013968
935		0.013966
936		0.013964
937		0.013962
938		0.013960
939		0.013958
940		0.013956
941		0.013954
942		0.013951
943		0.013950
944		0.013948
945		0.013946
946		0.013944
947		0.013942
948		0.013940
949		0.013938
950		0.013936
951		0.013934
952		0.013932
953		0.013930
954		0.013928
955		0.013926
956		0.013924
957		0.013922
958		0.013920
959		0.013918
960		0.013916
961		0.013914
962		0.013912
963		0.013910
964		0.013908
965		0.013906
966		0.013904
967		0.013902
968		0.013900
969		0.013898
970		0.013896
971		0.013894
972		0.013892
973		0.013890
974		0.013888
975		0.013886
976		0.013884
977		0.013882
978		0.013880
979		0.013878
980		0.013876
981		0.013874
982		0.013872
983		0.013870
984		0.013868
985		0.013866
986		0.013864
987		0.013862
988		0.013860
989		0.013858
990		0.013856
991		0.013854
992		0.013852
993		0.013850
994		0.013848
995		0.013846
996		0.013844
997		0.013842
998		0.013840
999		0.013838
1000		0.013836
1001		0.013834
1002		0.013832
1003		0.013830
1004		0.013828
1005		0.013826
1006		0.013824
1007		0.013822
1008		0.013820
1009		0.013818
1010		0.013816
1011		0.013814
1012		0.013812
1013		0.013810
1014		0.013808
1015		0.013806
1016		0.013804
1017		0.013802
1018		0.013800
1019		0.013798
1020		0.013796
1021		0.013794
1022		0.013792
1023		0.013791
1024		0.013789
1025		0.013787
1026		0.013785
1027		0.013783
1028		0.013781
1029		0.013779
1030		0.013777
1031		0.013775
1032		0.013773
1033		0.013771
1034		0.013769
1035		0.013767
1036		0.013765
1037		0.013763
1038		0.013761
1039		0.013759
1040		0.013757
1041		0.013755
1042		0.013753
1043		0.013751
1044		0.013749
1045		0.013747
1046		0.013745
1047		0.013743
1048		0.013741
1049		0.013739
1050		0.013737
1051		0.013735
1052		0.013733
1053		0.013731
1054		0.013730
1055		0.013728
1056		0.013726
1057		0.013724
1058		0.013722
1059		0.013720
1060		0.013718
1061		0.013716
1062		0.013714
1063		0.013712
1064		0.013710
1065		0.013708
1066		0.013706
1067		0.013704
1068		0.013702
1069		0.013700
1070		0.013698
1071		0.013696
1072		0.013694
1073		0.013692
1074		0.013690
1075		0.013688
1076		0.013686
1077		0.013684
1078		0.013683
1079		0.013681
1080		0.013679
1081		0.013677
1082		0.013675
1083		0.013673
1084		0.013671
1085		0.013669
1086		0.013667
1087		0.013665
1088		0.013663
1089		0.013661
1090		0.013659
1091		0.013657
1092		0.013655
1093		0.013653
1094		0.013651
1095		0.013649
1096		0.013647
1097		0.013645
1098		0.013643
1099		0.013642
1100		0.013640
1101		0.013638
1102		0.013636
1103		0.013634
1104		0.013632
1105		0.013630
1106		0.013628
1107		0.013626
1108		0.013624
1109		0.013622
1110		0.013620
1111		0.013618
1112		0.013616
1113		0.013614
1114		0.013612
1115		0.013610
1116		0.013608
1117		0.013607
1118		0.013605
1119		0.013603
1120		0.013601
1121		0.013599
1122		0.013597
1123		0.013595
1124		0.013593
1125		0.013591
1126		0.013589
1127		0.013587
1128		0.013585
1129		0.013583
1130		0.013581
1131		0.013579
1132		0.013577
1133		0.013576
1134		0.013574
1135		0.013572
1136		0.013570
1137		0.013568
1138		0.013566
1139		0.013564
1140		0.013562
1141		0.013560
1142		0.013558
1143		0.013556
1144		0.013554
1145		0.013552
1146		0.013550
1147		0.013548
1148		0.013547
1149		0.013545
1150		0.013543
1151		0.013541
1152		0.013539
1153		0.013537
1154		0.013535
1155		0.013533
1156		0.013531
1157		0.013529
1158		0.013527
1159		0.013525
1160		0.013523
1161		0.013521
1162		0.013520
1163		0.013518
1164		0.013516
1165		0.013514
1166		0.013512
1167		0.013510
1168		0.013508
1169		0.013506
1170		0.013504
1171		0.013502
1172		0.013500
1173		0.013498
1174		0.013496
1175		0.013495
1176		0.013493
1177		0.013491
1178		0.013489
1179		0.013487
1180		0.013485
1181		0.013483
1182		0.013481
1183		0.013479
1184		0.013477
1185		0.013475
1186		0.013473
1187		0.013471
1188		0.013470
1189		0.013468
1190		0.013466
1191		0.013464
1192		0.013462
1193		0.013460
1194		0.013458
1195		0.013456
1196		0.013454
1197		0.013452
1198		0.013450
1199		0.013449
1200		0.013447
1201		0.013445
1202		0.013443
1203		0.013441
1204		0.013439
1205		0.013437
1206		0.013435
1207		0.013433
1208		0.013431
1209		0.013429
1210		0.013427
1211		0.013426
1212		0.013424
1213		0.013422
1214		0.013420
1215		0.013418
1216		0.013416
1217		0.013414
1218		0.013412
1219		0.013410
1220		0.013408
1221		0.013406
1222		0.013405
1223		0.013403
1224		0.013401
1225		0.013399
1226		0.013397
1227		0.013395
1228		0.013393
1229		0.013391
1230		0.013389
1231		0.013387
1232		0.013386
1233		0.013384
1234		0.013382
1235		0.013380
1236		0.013378
1237		0.013376
1238		0.013374
1239		0.013372
1240		0.013370
1241		0.013368
1242		0.013367
1243		0.013365
1244		0.013363
1245		0.013361
1246		0.013359
1247		0.013357
1248		0.013355
1249		0.013353
1250		0.013351
1251		0.013349
1252		0.013348
1253		0.013346
1254		0.013344
1255		0.013342
1256		0.013340
1257		0.013338
1258		0.013336
1259		0.013334
1260		0.013332
1261		0.013331
1262		0.013329
1263		0.013327
1264		0.013325
1265		0.013323
1266		0.013321
